Timestamp,BidPrice0,BidPrice1,BidPrice2,BidPrice3,BidPrice4,AskPrice0,AskPrice1,AskPrice2,AskPrice3,AskPrice4
1683671400132198049,0,0,0,0,0,0,0,0,0,0
1683678620154757784,323,318.5,315,314.5,311,324,329.5,331,334,336
1683678625176599753,323,320,318.5,316.5,315,324,329.5,331,333.5,334
1683678630193216760,323,320,318.5,316.5,315,324,329.5,331,333.5,334
1683678635200665582,323,320,318.5,317,316.5,324,327,329.5,330,331
1683678640205990657,323.5,323,320,318.5,317,324,327,329.5,330,331
1683678645217457723,323.5,323,320,318.5,317,324,327,329.5,330,331
1683678650253596685,323.5,323,320,318.5,317,324,327,329.5,330,331
1683678655269210757,323.5,323,320,318.5,317,324,327,329.5,330,331
1683678660278707482,323.5,323,320,318.5,318,324,327,329.5,330,331
1683678665294336672,324,323.5,323,320,318.5,327,329.5,330,331,332
1683678670307816976,323.5,323,322,320,318.5,324,327,329.5,330,331
1683678675327918553,324,323.5,323,322,320,327,329.5,330,331,332
1683678680343230125,324,323.5,323,322,320,327,329.5,330,331,332
1683678685364833741,324,323.5,323,322,320,327,329.5,330,331,332
1683678690368180436,324,323.5,323,322,320,327,329.5,330,331,332
1683678700401441720,325,324,323.5,323,322,327,329.5,330,331,332
1683678710434784817,326,325,324,323.5,323,327,329.5,330,331,332
1683678720463865238,326,325,324,323.5,323,327,329.5,330,331,332
1683678725467191742,326,325,324,323.5,323,327,328.5,329.5,330,331
1683678735496360366,326,325,324,323.5,323,327,329.5,330,331,332
1683678755573143624,326,325,324,323.5,323,327,329.5,330,331,332
1683678770622055638,326,325,324,323.5,323,327,329.5,330,331,332
1683678775641704616,324,323.5,323,322,320,327,329.5,330,331,332
1683678780642989783,323.5,323,322,320,319,324,327,329.5,330,331
1683678785666791587,323.5,323,322,320,319,324,327,329.5,330,331
1683678800703485462,323.5,323,322,320,319,324,327,329.5,330,331
1683678805727140550,323.5,323,322,320,319,324,327,329.5,330,331
1683678810742775939,323.5,323,322,320,319,324,327,329.5,330,331
1683678825793543424,323.5,323,322,320,319,324,327,329.5,330,331
1683678845847901784,323.5,323,322,320,319,324,327,329.5,330,331
1683678885976848251,323.5,323,322,320,319.5,324,327,329.5,330,331
1683678896010248534,323.5,323,322,320,319.5,324,327,329.5,330,331
1683678906043311541,323.5,323,322,320,319.5,324,327,329.5,330,331
1683678931131638067,323.5,323,322,320,319.5,324,327,329.5,330,331
1683678941154690763,323.5,323,322,320,319.5,324,327,329.5,330,331
1683678946180529780,323.5,323,322,320,319.5,324,327,329.5,330,331
1683678971262562302,323.5,323,322,320,319.5,324,327,329.5,330,331
1683679041487265012,323.5,323,322,320,319.5,324,327,329.5,330,331
1683679061545540127,323.5,323,322,320,319.5,324,327,329.5,330,330.5
1683679121743087088,323.5,323,322,320,319.5,324,327,329.5,330,330.5
1683679146815050173,323.5,323,322,320,319.5,324,327,329.5,330,330.5
1683679161867976801,323.5,323,322,320,319.5,324,327,329.5,330,330.5
1683679212833138006,323.5,323,322,321.5,320,324,327,329.5,330,330.5
1683679232891421183,323.5,323,322,320,319.5,324,327,329.5,330,330.5
1683679242922760691,324,323.5,323,322,320,327,329.5,330,330.5,331
1683679262989087433,324,323.5,323,322,320,327,329.5,330,330.5,331
1683679268008860765,324,323.5,323,322,320,327,329.5,330,330.5,331
1683679278029944601,324,323.5,323,322,320,327,329.5,330,330.5,331
1683679303107913844,324,323.5,323,322,320,327,329.5,330,330.5,331
1683679318160814707,324,323.5,323,322,320,327,329.5,330,330.5,331
1683679323178479927,324,323.5,323,322,320,327,329.5,330,330.5,331
1683679378333735945,324,323.5,323,322,320,327,329.5,330,330.5,331
1683679383363544862,324,323.5,323,322,320,327,329.5,330,330.5,331
1683679458609078586,324,323.5,323,322,320,327,329.5,330,330.5,331
1683679468638269717,324,323.5,323,322,320,327,329.5,330,330.5,331
1683679488698637222,324,323.5,323,322,320,327,329.5,330,330.5,331
1683679493699937372,324,323.5,323,322,320,327,329.5,330,330.5,331
1683679503749570541,324,323.5,323,322,320,327,329.5,330,330.5,331
1683679523809930041,324,323.5,323,322,320.5,327,329.5,330,330.5,331
1683679528827561312,324,323.5,323,322,321.5,327,329.5,330,330.5,331
1683679589012697093,324,323.5,323,322,321.5,327,329.5,330,330.5,331
1683679604057568538,325,324,323.5,323,322,327,329.5,330,330.5,331
1683679639181149182,325,324,323.5,323,322,327,329.5,330,330.5,331
1683679664260190960,325,324,323.5,323,322,327,329.5,330,330.5,331
1683679689342360351,325,324,323.5,323,322,327,329.5,330,330.5,331
1683679694362115870,325,324,323.5,323,322,327,329.5,330,330.5,331
1683679699367501415,325,324,323.5,323,322,327,329.5,330,330.5,331
1683679704385081168,325,324.5,324,323.5,323,327,329.5,330,330.5,331
1683679729467175986,325,324,323.5,323,322,327,329.5,330,330.5,331
1683679734462328254,325,324,323.5,323,322,327,329,329.5,330,330.5
1683679754555582677,325,324,323.5,323,322,327,329,329.5,330,330.5
1683679769594208601,325,324,323.5,323,322,327,329,329.5,330,330.5
1683679774626081787,325,324.5,324,323.5,323,327,329,329.5,330,330.5
1683679784847837965,325,324.5,324,323.5,323,327,329,329.5,330,330.5
1683679790070248775,325,324.5,324,323.5,323,327,329,329.5,330,330.5
1683679795282523963,325.5,325,324.5,324,323.5,327,329,329.5,330,330.5
1683679815545656522,325.5,325,324.5,324,323.5,327,329,329.5,330,330.5
1683679825568701103,325.5,325,324.5,324,323.5,327,329,329.5,330,330.5
1683679845635192809,325.5,325,324.5,324,323.5,327,329,329.5,330,330.5
1683679850663091237,325.5,325,324.5,324,323.5,327,329,329.5,330,330.5
1683679855678821105,325.5,325,324.5,324,323.5,327,329,329.5,330,330.5
1683679860698390082,325.5,325,324.5,324,323.5,327,329,329.5,330,330.5
1683679865707979992,325.5,325,324.5,324,323.5,327,329,329.5,330,330.5
1683679880754708317,325.5,325,324.5,324,323.5,327,329,329.5,330,330.5
1683679885759963917,325.5,325,324.5,324,323.5,327,329,329.5,330,330.5
1683679890779668006,325.5,325,324.5,324,323.5,327,329,329.5,330,330.5
1683679910852401646,325.5,325,324.5,324,323.5,327,329,329.5,330,330.5
1683679915867954648,325.5,325,324.5,324,323.5,327,329,329.5,330,330.5
1683679935929381562,325.5,325,324.5,324,323.5,327,329,329.5,330,330.5
1683679940955307179,326,325.5,325,324.5,324,327,329,329.5,330,330.5
1683679945956464049,326.5,326,325.5,325,324.5,327,329,329.5,330,330.5
1683679955993885948,326.5,326,325.5,325,324.5,327,329,329.5,330,330.5
1683679961021796241,328.5,328,327,326.5,326,329.5,330,330.5,331,331.5
1683679966031223919,328.5,328,327,326.5,326,329.5,330,330.5,331,331.5
1683679971034538188,329,328.5,328,327,326.5,329.5,330,330.5,331,331.5
1683679976064486797,329,328.5,328,327,326,329.5,330,330.5,331,331.5
1683679986087496942,329,328.5,328,327,326,330,330.5,331,331.5,332
1683679991105156736,329,328.5,328,327,326,330,330.5,331,331.5,332
1683680006166308079,329,328.5,328,327,326,330,330.5,331,331.5,332
1683680026228713527,329,328.5,328,327.5,327,330,330.5,331,331.5,332
1683680036251719008,329,328.5,328,327.5,327,330,330.5,331,331.5,332
1683680046293173478,329,328.5,328,327.5,327,330,330.5,331,331.5,332
1683680076393021609,329,328.5,328,327.5,327,330,330.5,331,331.5,332
1683680096455429845,329,328.5,328,327.5,327,330,330.5,331,331.5,332
1683680101460808341,330,329,328.5,328,327.5,330.5,331,331.5,332,332.5
1683680111502299763,329,328.5,328,327.5,327,330,330.5,331,331.5,332
1683680121541658077,330,329,328.5,328,327.5,330.5,331,331.5,332,332.5
1683680131572924517,330,329,328.5,328,327.5,330.5,331,331.5,332,332.5
1683680136580340668,330,329,328.5,328,327.5,330.5,331,332,332.5,333
1683680146640259035,330,329,328.5,328,327.5,330.5,331,332,332.5,333
1683680151641432272,330,329,328.5,328,327.5,330.5,331,332,332.5,333
1683680156665274695,330,329,328.5,328,327.5,330.5,331,332,332.5,333
1683680176725723962,330,329,328.5,328,327.5,330.5,331,332,332.5,333
1683680181751643082,330,329,328.5,328,327.5,330.5,331,332,332.5,333
1683680196792230719,330,329,328.5,328,327.5,330.5,331,332,332.5,333
1683680211837000466,330,329,328.5,328,327.5,330.5,331,332,332.5,333
1683680226885857494,330,329,328.5,328,327.5,330.5,331,332,332.5,333
1683680231899378732,330,329,328.5,328,327.5,330.5,331,332,332.5,333
1683680236919063874,329,328.5,328,327.5,327,330.5,331,332,332.5,333
1683680246954392216,329,328.5,328,327.5,327,330.5,331,332,332.5,333
1683680251963922410,329,328.5,328,327.5,327,330,330.5,331,332,332.5
1683680256979604013,329,328.5,328,327.5,327,330,330.5,331,332,332.5
1683680261995077855,329,328.5,328,327.5,327,329.5,330,330.5,331,332
1683680272024197427,329,328.5,328,327.5,327,330,330.5,331,332,332.5
1683680277039797556,329,328.5,328,327.5,327,329.5,330,330.5,331,332
1683680282047230079,328.5,328,327.5,327,326,329.5,330,330.5,331,332
1683680292086629861,328.5,328,327.5,327,326,329.5,330,330.5,331,332
1683680297100217230,328.5,328,327.5,327,326,329.5,330,330.5,331,332
1683680302128093287,328.5,328,327.5,327,326,329.5,330,330.5,331,332
1683680312143023352,328.5,328,327.5,327,326,329.5,330,330.5,331,332
