Timestamp,BidPrice0,BidPrice1,BidPrice2,BidPrice3,BidPrice4,AskPrice0,AskPrice1,AskPrice2,AskPrice3,AskPrice4
1685399413887585147,0,0,0,0,0,0,0,0,0,0
1685406603853667506,0,0,0,0,0,352,0,0,0,0
1685406608857078663,0,0,0,0,0,304,328,330,352,0
1685406614073462015,310,288,0,0,0,328,329,330,331,352
1685406619299914905,314.5,310,288,0,0,323,328,329,330,331
1685406624520367677,317,315,314.5,310,300,323,325.5,326,328,329
1685406629730652495,317,315,314.5,310,300,323,325.5,326,328,329
1685406634756565594,318,317,316.5,315,314.5,323,325.5,326,326.5,327
1685406639751613623,318,317,316.5,315.5,315,323,325.5,326,326.5,327
1685406644793741318,318,317,316.5,315.5,315,323,324,325.5,326,326.5
1685406649805339955,318,317,316.5,315.5,315,323,324,325.5,326,326.5
1685406654814769728,318,317,316.5,315.5,315,323,324,325.5,326,326.5
1685406659824210772,318,317,316.5,315.5,315,323,324,325.5,326,326.5
1685406664841905625,318,317,316.5,315.5,315,323,324,325.5,326,326.5
1685406669857470347,318,317,316.5,315.5,315,323,324,325.5,326,326.5
1685406674885402812,318,317,316.5,315.5,315,320,321,323,324,325.5
1685406684910430585,318,317,316.5,315.5,315,320,321,323,324,325.5
1685406694947884289,318,317,316.5,315.5,315,320,321,323,324,325
1685406704979051014,318,317,316.5,315.5,315,320,321,323,324,325
1685406720019706864,318,317,316.5,315.5,315,320,321,322,323,324
1685406725037420003,318,317,316.5,315.5,315,320,321,322,323,324
1685406730046987726,318,317,316.5,315.5,315,320,321,322,323,324
1685406900595871905,318,317,316.5,315.5,315,320,321,322,323,324
1685406925668811853,318,317,316.5,315.5,315,320,321,322,323,324
1685406935710293011,318,317,316.5,315.5,315,320,321,322,323,324
1685406960773925479,318,317,316.5,315.5,315,320,321,322,323,324
1685407005916437862,318,317,316.5,315.5,315,320,321,322,323,324
1685407015955875513,318,317,316.5,316,315.5,320,321,322,323,324
1685407061100580084,318,317,316.5,316,315.5,320,321,322,322.5,323
1685407071135757193,318,317,316.5,316,315.5,320,321,322,322.5,323
1685407091206456059,318,317,316.5,316,315.5,320,321,322,322.5,323
1685407428056961258,318,317,316.5,316,315.5,320,321,322,322.5,323
1685407448115416207,318,317.5,317,316.5,316,320,321,322,322.5,323
1685407453132966096,318,317.5,317,316.5,316,320,321,322,322.5,323
1685407478213138897,318,317.5,317,316.5,316,320,321,322,322.5,323
1685407568504099630,318.5,318,317.5,317,316.5,320,321,322,322.5,323
1685407593561778542,319,318.5,318,317.5,317,320,321,322,322.5,323
1685407668818395119,319,318.5,318,317.5,317,320,321,322,322.5,323
1685407804234549121,319,318.5,318,317.5,317,321,322,322.5,323,324
1685407824882753962,319,318.5,318,317.5,317,321,322,322.5,323,324
1685407910367221279,319,318.5,318,317.5,317,321,322,322.5,323,324
1685407945488876899,319,318.5,318,317.5,317,321,322,322.5,323,324
1685407975588492736,320,319,318.5,318,317.5,321,322,322.5,323,324
1685408005690391059,320,319,318.5,318,317.5,321,322,322.5,323,324
1685408095975408482,320,319,318.5,318,317.5,322,322.5,323,324,325
1685408106014806095,320,319,318.5,318,317.5,322,322.5,323,324,324.5
1685408121047260479,320,319,318.5,318,317.5,322,322.5,323,324,324.5
1685408131088771460,320.5,320,319,318.5,318,322,322.5,323,324,324.5
1685408221363562140,320.5,320,319,318.5,318,322.5,323,324,324.5,325
1685408226379131723,320.5,320,319,318.5,318,322,322.5,323,324,324.5
1685408236396047612,320.5,320,319,318.5,318,322.5,323,324,324.5,325
1685408241436102962,320.5,320,319,318.5,318,322,322.5,323,324,324.5
1685408261482235817,320.5,320,319,318.5,318,322,322.5,323,324,324.5
1685408271521643890,320.5,320,319,318.5,318,322,322.5,323,324,324.5
1685408311654713259,320.5,320,319,318.5,318,322.5,323,324,324.5,325
1685408316666210766,320.5,320,319,318.5,318,322,322.5,323,324,324.5
1685408321683831120,320.5,320,319,318.5,318,322,322.5,323,324,324.5
1685408331710938104,320.5,320,319,318.5,318,322,322.5,323,324,324.5
1685408336726551119,320,319,318.5,318,317.5,321,322,322.5,323,324
1685408341746250677,320,319,318.5,318,317.5,321,322,322.5,323,324
1685408346755705839,319,318.5,318,317.5,317,321,322,322.5,323,324
1685408361806649891,319,318.5,318,317.5,317,321,322,322.5,323,324
1685408366818159470,319.5,319,318.5,318,317.5,321,322,322.5,323,324
1685408376849365672,320,319.5,319,318.5,318,321,322,322.5,323,324
1685408386882622915,320,319.5,319,318.5,318,321,322,322.5,323,324
1685408391892067768,320,319.5,319,318.5,318,320.5,321,322,322.5,323
1685408396917939886,320,319.5,319,318.5,318,321,322,322.5,323,324
1685408413784127614,320.5,320,319.5,319,318.5,321,322,322.5,323,324
1685408414453695788,320.5,320,319.5,319,318.5,321,322,322.5,323,324
1685408415478154748,320.5,320,319.5,319,318.5,321,322,322.5,323,324
1685408417818192152,320.5,320,319.5,319,318.5,321,322,322.5,323,324
1685408419037605913,320.5,320,319.5,319,318.5,321,322,322.5,323,324
1685408421082883680,320,319.5,319,318.5,318,321,322,322.5,323,324
1685408422370292988,320,319.5,319,318.5,318,321,322,322.5,323,324
1685408422512598960,320,319.5,319,318.5,318,321,322,322.5,323,324
1685408422512598960,320,319.5,319,318.5,318,321,322,322.5,323,324
1685408423182203181,320,319.5,319,318.5,318,320.5,321,322,322.5,323
1685408423419610547,320,319.5,319,318.5,318,320.5,321,322,322.5,323
1685408424243985725,320,319.5,319,318.5,318,320.5,321,322,322.5,323
