Timestamp,BidPrice0,BidPrice1,BidPrice2,BidPrice3,BidPrice4,AskPrice0,AskPrice1,AskPrice2,AskPrice3,AskPrice4
1683757807517737920,0,0,0,0,0,0,0,0,0,0
1683765007453514911,320,319,0,0,0,325,335,339,347,350
1683765012471188987,320,319,317.5,315,312,325,335,337,339,347
1683765017482707784,322,321,320.5,320,319,325,333,335,336,337
1683765022486033376,322,321,320.5,320,319,325,331,333,333.5,335
1683765027513882728,322,321,320.5,320,319,325,331,333,333.5,335
1683765032529521510,322,321,320.5,320,319,325,331,333,333.5,334
1683765037553654553,322,321,320.5,320,319,325,331,331.5,333,333.5
1683765047582460516,322,321,320.5,320,319,325,331,331.5,333,333.5
1683765057609603484,322,321,320.5,320,319,325,331,331.5,333,333.5
1683765062635511568,322,321,320.5,320,319,325,329,331,331.5,333
1683765067638910615,322,321,320.5,320,319,325,329,330,331,331.5
1683765072660691749,322,321,320.5,320,319,325,329,329.5,330,331
1683765077680385663,322,321,320.5,320,319,325,329,329.5,330,331
1683765082689789445,323,322,321,320.5,320,323.5,325,329,329.5,330
1683765087707296011,322,321,320.5,320,319,323.5,325,329,329.5,330
1683765092716799167,322,321,320.5,320,319,323.5,325,329,329.5,330
1683765102750023308,322,321,320.5,320,319,323.5,325,329,329.5,330
1683765107775786508,323.5,323,322,321.5,321,325,329,329.5,330,331
1683765112783326932,323.5,323,322,321.5,321,325,329,329.5,330,331
1683765127834155632,323.5,323,322,321.5,321,325,329,329.5,330,331
1683765142888970693,323.5,323,322,321.5,321,325,329,329.5,330,331
1683765147906781396,323.5,323,322,321.5,321,325,328,329,329.5,330
1683765188023480587,324,323.5,323,322,321.5,325,328,329,329.5,330
1683765193034855042,324,323.5,323,322,321.5,325,328,329,329.5,330
1683765198058801893,324,323.5,323,322,321.5,325,328,329,329.5,330
1683765203068258337,324,323.5,323,322,321.5,325,328,329,329.5,330
1683765208087914223,324,323.5,323,322,321.5,325,328,329,329.5,330
1683765253224290991,324,323.5,323,322,321.5,325,328,329,329.5,330
1683765263251293755,324,323.5,323,322,321.5,325,328,329,329.5,330
1683765333494419689,324,323.5,323,322,321.5,325,328,329,329.5,330
1683765343523521556,324,323.5,323,322,321.5,325,328,329,329.5,330
1683765363580904927,324,323.5,323,322,321.5,325,328,329,329.5,330
1683765373608078621,324,323.5,323,322,321.5,325,328,329,329.5,330
1683765509057088584,324,323.5,323,322,321.5,325,328,329,329.5,330
1683765539142589878,324,323.5,323,322,321.5,328,329,329.5,330,330.5
1683765635241829971,324,323.5,323,322,321.5,328,329,329.5,330,330.5
1683765680367978507,324,323.5,323,322,321.5,328,329,329.5,330,330.5
1683765715469078471,324,323.5,323,322,321.5,328,329,329.5,330,330.5
1683765720495009334,324,323.5,323,322,321.5,328,329,329.5,330,330.5
1683765725502270894,324,323.5,323,322,321.5,328,329,329.5,330,330.5
1683765780680179878,324,323.5,323,322,321.5,328,329,329.5,330,330.5
1683765810765512534,324,323.5,323,322,321.5,328,329,329.5,330,330.5
1683765825837054543,324,323.5,323,322,321.5,325,328,329,329.5,330
1683765926145159242,324,323.5,323,322,321.5,325,328,329,329.5,330
1683765966282165930,324,323.5,323,322,321.5,325,328,329,329.5,330
1683765986344728367,324,323.5,323,322,321.5,325,328,329,329.5,330
1683765991364332402,324,323.5,323,322,321.5,325,328,329,329.5,330
1683766001391497542,324,323.5,323,322,321.5,328,329,329.5,330,330.5
1683766006411131665,324,323.5,323,322,321.5,328,329,329.5,330,330.5
1683766011432841847,324,323.5,323,322,321.5,328,329,329.5,330,330.5
1683766026481843182,325,324,323.5,323,322,328,329,329.5,330,330.5
1683766031497326795,325,324,323.5,323,322,328,329,329.5,330,330.5
1683766036513094251,323,322,321.5,321,320.5,325,328,329,329.5,330
1683766041518349690,323,322,321.5,321,320.5,325,328,329,329.5,330
1683766051564006061,322,321.5,321,320.5,320,325,328,329,329.5,330
1683766091692906149,322,321.5,321,320.5,320,325,328,329,329.5,330
1683766096710502637,324,323.5,323,322,321.5,325,328,329,329.5,330
1683766111749222945,324,323.5,323,322,321.5,325,328,329,329.5,330
1683766121803015999,324,323.5,323,322,321.5,328,329,329.5,330,330.5
1683766131815742457,325,324,323.5,323,322,328,329,329.5,330,330.5
1683766181991322556,325,324,323.5,323,322,328,329,329.5,330,330.5
1683766192423814327,325,324,323.5,323,322,328,329,329.5,330,330.5
1683766197627837298,325,324,323.5,323,322,328,329,329.5,330,330.5
1683766212875382799,325,324,323.5,323,322,328,329,329.5,330,330.5
1683766232941835719,325,324,323.5,323,322,328,329,329.5,330,330.5
1683766237965777185,325,324,323.5,323,322,328,329,329.5,330,330.5
1683766242991567704,325,324,323.5,323,322,328,329,329.5,330,330.5
1683766247994866291,325.5,325,324,323.5,323,328,329,329.5,330,330.5
1683766253020830817,327,325.5,325,324,323.5,328,329,329.5,330,330.5
1683766293151726305,325,324,323.5,323,322,328,329,329.5,330,330.5
1683766303182959848,325,324,323.5,323,322,327.5,328,329,329.5,330
1683766328250808308,325,324,323.5,323,322,327.5,328,329,329.5,330
1683766348319363213,325,324,323.5,323,322,327.5,328,329,329.5,330
1683766358346544360,325.5,325,324,323.5,323,327.5,328,329,329.5,330
1683766368383866108,325.5,325,324,323.5,323,327.5,328,329,329.5,330
1683766373405504284,325.5,325,324,323.5,323,327.5,328,329,329.5,330
1683766413538556630,325,324,323.5,323,322,327.5,328,329,329.5,330
1683766433607044374,325,324,323.5,323,322,327.5,328,329,329.5,330
1683766443628170318,325.5,325,324,323.5,323,327.5,328,329,329.5,330
1683766453673682443,325.5,325,324,323.5,323,327.5,328,329,329.5,330
1683766458678948656,325,324,323.5,323,322,327.5,328,329,329.5,330
1683766473727962425,325,324,323.5,323,322,327.5,328,329,329.5,330
1683766478741596733,325,324,323.5,323,322,327.5,328,329,329.5,330
1683766488793137805,325,324,323.5,323,322,327.5,328,329,329.5,330
1683766503829854593,325.5,325,324,323.5,323,327.5,328,329,329.5,330
1683766513863114224,325.5,325,324,323.5,323,327.5,328,329,329.5,330
1683766518870460118,325.5,325,324,323.5,323,327,327.5,328,329,329.5
1683766528907753416,325.5,325,324,323.5,323,327,327.5,328,329,329.5
1683766533921352362,325.5,325,324,323.5,323,327.5,328,329,329.5,330
1683766538943085062,325.5,325,324,323.5,323,327,327.5,328,329,329.5
1683766543960841706,325.5,325,324,323.5,323,327,327.5,328,329,329.5
1683766548976445549,325.5,325,324,323.5,323,327,327.5,328,329,329.5
1683766553994042314,325.5,325,324,323.5,323,327,327.5,328,329,329.5
1683766559017665465,325.5,325,324,323.5,323,327,327.5,328,329,329.5
1683766574050304188,325.5,325,324,323.5,323,327,327.5,328,329,329.5
1683766584089797116,325.5,325,324,323.5,323,327,327.5,328,329,329.5
1683766594127027628,325.5,325,324.5,324,323.5,327,327.5,328,329,329.5
1683766604160267910,325.5,325,324.5,324,323.5,327,327.5,328,329,329.5
1683766619203111697,325.5,325,324.5,324,323.5,327,327.5,328,329,329.5
1683766639257335579,325.5,325,324.5,324,323.5,327,327.5,328,329,329.5
1683766644275001653,325.5,325,324.5,324,323.5,327,327.5,328,329,329.5
1683766654292959600,325.5,325,324.5,324,323.5,327,327.5,328,329,329.5
1683766659326867973,326,325.5,325,324,323.5,327,327.5,328,329,329.5
1683766679395504211,326,325.5,325,324,323.5,327,327.5,328,329,329.5
1683766684409049402,326,325.5,325,324,323.5,327,327.5,328,329,329.5
1683766689426759092,326,325.5,325,324,323.5,327,327.5,328,329,329.5
1683766694442415698,326,325.5,325,324,323.5,327,327.5,328,329,329.5
1683766699462067325,326,325.5,325,324,323.5,327,327.5,328,329,329.5
