Timestamp,BidPrice0,BidPrice1,BidPrice2,BidPrice3,BidPrice4,AskPrice0,AskPrice1,AskPrice2,AskPrice3,AskPrice4
1683066602775173095,0,0,0,0,0,0,0,0,0,0
1683073822830618124,310,309.5,304,303,302,317,318,320,323,325
1683073827844301324,314,310,309.5,304,303,317,318,320,323,325
1683073832870110311,315,314,310.5,310,309.5,317,318,320,322,323
1683073837875412515,315,314.5,314,312.5,310.5,317,318,320,322,323
1683073842893225047,315,314.5,314,312.5,310.5,317,318,320,321.5,322
1683073847910853935,315,314.5,314,312.5,310.5,317,318,320,320.5,321.5
1683073852926373261,315,314.5,314,313,312.5,317,318,320,320.5,321.5
1683073878004405499,315,314.5,314,313,312.5,317,318,320,320.5,321
1683073883015964328,315,314.5,314,313,312.5,317,318,320,320.5,321
1683073888023387171,315,314.5,314,313,312.5,317,318,320,320.5,321
1683073893032858842,315,314.5,314,313,312.5,316.5,317,318,320,320.5
1683073898064909475,315,314.5,314,313,312.5,316.5,317,318,320,320.5
1683073908102097611,315,314.5,314,313,312.5,316.5,317,318,320,320.5
1683073913117797083,315,314.5,314,313,312.5,316.5,317,318,320,320.5
1683073923136679427,315,314.5,314,313,312.5,316.5,317,318,320,320.5
1683073938193732393,315,314.5,314,313,312.5,316.5,318,320,320.5,321
1683073968287351917,317,315,314.5,314,313,321,321.5,322,322.5,323
1683073973300932379,317,315,314.5,314,313,321,321.5,322,322.5,323
1683073978310289180,317,315,314.5,314,313,320,320.5,321,321.5,322
1683074013425771928,315,314.5,314,313,312.5,316,316.5,318,320,320.5
1683074038505795237,312.5,312,311.5,311,310.5,316,316.5,318,320,320.5
1683074043533683451,315,314.5,314,313,312.5,316,316.5,318,320,320.5
1683074098703281378,315,314.5,314,313,312.5,316,316.5,318,320,320.5
1683074173935385104,315,314.5,314,313,312.5,316,316.5,318,320,320.5
1683074178950983028,315,314.5,314,313,312.5,316,316.5,318,320,320.5
1683074183991075030,317,315,314.5,314,313,320.5,321,321.5,322,322.5
1683074188996596394,317,315,314.5,314,313,320,320.5,321,321.5,322
1683074199025716392,317,315,314.5,314,313,320,320.5,321,321.5,322
1683074214074593651,317,315,314.5,314,313,320,320.5,321,321.5,322
1683074219086186974,317,315,314.5,314,313,320,320.5,321,321.5,322
1683074229134714378,317,315,314.5,314,313,320.5,321,321.5,322,322.5
1683074234144217036,317,315,314.5,314,313,320.5,321,321.5,322,322.5
1683074239159736480,317,315,314.5,314,313,320,320.5,321,321.5,322
1683074244167231597,317,315,314.5,314,313,320.5,321,321.5,322,322.5
1683074254208590371,317,315,314.5,314,313,320.5,321,321.5,322,322.5
1683074259218106423,317,315,314.5,314,313,320.5,321,321.5,322,322.5
1683074269265693880,317,315,314.5,314,313,320,320.5,321,321.5,322
1683074274266952568,317,315,314.5,314,313.5,320.5,321,321.5,322,322.5
1683074294337568559,317,315,314.5,314,313.5,320,320.5,321,321.5,322
1683074299346934387,317,315,314.5,314,313.5,320.5,321,321.5,322,322.5
1683074334458342393,317,315,314.5,314,313.5,320,320.5,321,321.5,322
1683074339475985381,317,315,314.5,314,313.5,320.5,321,321.5,322,322.5
1683074344493677962,317,315,314.5,314,313.5,320,320.5,321,321.5,322
1683074364570307505,317,315,314.5,314,313.5,320,320.5,321,321.5,322
1683074369567587760,317,315,314.5,314,313.5,320,320.5,321,321.5,322
1683074410503320303,317,315,314.5,314,313.5,320,320.5,321,321.5,322
1683074425560545797,317,315,314.5,314,313.5,320,320.5,321,321.5,322
1683074455643880418,317,315,314.5,314,313.5,320,320.5,321,321.5,322
1683074520862213302,317,315,314.5,314,313.5,320,320.5,321,321.5,322
1683074560997224042,317,315,314.5,314,313.5,320,320.5,321,321.5,322
1683074565996411162,317,315,314.5,314,313.5,320,320.5,321,321.5,322
1683074576031733192,317,315,314.5,314,313.5,320,320.5,321,321.5,322
1683074581053572241,317,315,314.5,314,313.5,320,320.5,321,321.5,322
1683074636231424306,317,315,314.5,314,313.5,320,320.5,321,321.5,322
1683074686397656806,315,314.5,314,313.5,313,316,316.5,317,318,319.5
1683074746570583892,315,314.5,314,313.5,313,316,316.5,317,318,319.5
1683074761615385991,315,314.5,314,313.5,313,316,316.5,317,318,319.5
1683074791717192657,315,314.5,314,313.5,313,316,316.5,317,318,319.5
1683074796740907582,315,314.5,314,313.5,313,316,316.5,317,318,319.5
1683074801756587652,315,314.5,314,313.5,313,316,316.5,317,318,319.5
1683074836855592017,315,314.5,314,313.5,313,316,316.5,317,318,319
1683074892039647051,315,314.5,314,313.5,313,316,316.5,317,318,319
1683074902072809569,315,314.5,314,313.5,313,316,316.5,317,318,319
1683074912105992434,315,314.5,314,313.5,313,316,316.5,317,318,319
1683074947217382945,315,314.5,314,313.5,313,316,316.5,317,318,319
1683075003001478048,315,314.5,314,313.5,313,316,316.5,317,318,319
1683075023059737778,315,314.5,314,313.5,313,316,316.5,317,318,319
1683075033091008336,315,314.5,314,313.5,313,316,316.5,317,318,319
1683075038110616244,315,314.5,314,313.5,313,316,316.5,317,318,319
1683075048148029304,315,314.5,314,313.5,313,316,316.5,317,318,319
1683075053173870776,315,314.5,314,313.5,313,316.5,317,318,319,319.5
1683075068194162583,315,314.5,314,313.5,313,316,316.5,317,318,319
1683075093272023805,315,314.5,314,313.5,313,316.5,317,318,319,319.5
1683075123368799441,315,314.5,314,313.5,313,316.5,317,318,319,319.5
1683075163495767280,316,315,314.5,314,313.5,316.5,317,318,319,319.5
1683075173526910799,316,315,314.5,314,313.5,316.5,317,318,319,319.5
1683075178534319668,317,316,315,314.5,314,318,319,319.5,320,320.5
1683075188581921940,317,316,315,314.5,314,318,319,319.5,320,320.5
1683075193605788349,317,316,315,314.5,314,318,319,319.5,320,320.5
1683075253784839947,317,316,315,314.5,314,318,319,319.5,320,320.5
1683075258802472155,317,316.5,316,315,314.5,318,319,319.5,320,320.5
1683075263818086134,318,317,316.5,316,315,319,319.5,320,320.5,321
1683075283888648322,316.5,316,315,314.5,314,317,318,319,319.5,320
1683075298937513211,316.5,316,315,314.5,314,317,318,319,319.5,320
1683075308966816741,316.5,316,315,314.5,314,317,318,319,319.5,320
1683075319004100444,316.5,316,315.5,315,314.5,317,318,319,319.5,320
1683075334042698664,316.5,316,315.5,315,314.5,317,318,319,319.5,320
1683075339060329123,316.5,316,315,314.5,314,317,318,319,319.5,320
1683075389216389789,316.5,316,315,314.5,314,317,318,319,319.5,320
1683075399243524416,316.5,316,315,314.5,314,317,318,319,319.5,320
1683075409284929066,316,315,314.5,314,313.5,317,318,319,319.5,320
1683075429336176232,316.5,316,315,314.5,314,317,318,319,319.5,320
1683075434362001171,316.5,316,315,314.5,314,317,318,319,319.5,320
1683075444401360594,316,315,314.5,314,313.5,317,318,319,319.5,320
1683075479509626865,316,315,314.5,314,313.5,317,318,319,319.5,320
1683075489549083476,316,315,314.5,314,313.5,317,318,319,319.5,320
1683075494562536440,316,315,314.5,314,313.5,317,318,319,319.5,320
1683075514623944811,316,315,314.5,314,313.5,317,318,319,319.5,320
1683075519637494438,316,315,314.5,314,313.5,317,318,319,319.5,320
1683075524669521616,316.5,316,315,314.5,314,317,318,318.5,319,319.5
1683075554767281832,316.5,316,315,314.5,314,317,318,318.5,319,319.5
1683075564793418933,316.5,316,315,314.5,314,317,318,318.5,319,319.5
1683075569806917317,316.5,316,315,314.5,314,317,318,318.5,319,319.5
1683075575021218332,316.5,316,315,314.5,314,317,318,318.5,319,319.5
1683075585453772954,316.5,316,315,314.5,314,317,318,318.5,319,319.5
1683075590678313514,316.5,316,315,314.5,314,317,318,318.5,319,319.5
1683075595687842436,316.5,316,315,314.5,314,317,318,318.5,319,319.5
1683075602720759378,317,316.5,316,315,314.5,318,318.5,319,319.5,320
1683075602752553781,317,316.5,316,315,314.5,318,318.5,319,319.5,320
1683075603059599041,317,316.5,316,315,314.5,318,318.5,319,319.5,320
1683075604292597694,317,316.5,316,315,314.5,318,318.5,319,319.5,320
1683075605141623478,317,316.5,316,315,314.5,318,318.5,319,319.5,320
1683075605974053574,317,316.5,316,315,314.5,318,318.5,319,319.5,320
1683075608166123079,317,316.5,316,315,314.5,318,318.5,319,319.5,320
1683075609042303205,317,316.5,316,315,314.5,318,318.5,319,319.5,320
1683075609757479670,317,316.5,316,315,314.5,318,318.5,319,319.5,320
1683075612224846950,317,316.5,316,315,314.5,318,318.5,319,319.5,320
1683075612963433407,317,316.5,316,315,314.5,318,318.5,319,319.5,320
1683075614231666803,317,316.5,316,315,314.5,318,318.5,319,319.5,320
1683075615098196901,317.5,317,316.5,316,315,318,318.5,319,319.5,320
1683075615140257148,317.5,317,316.5,316,315,318,318.5,319,319.5,320
1683075615140257148,317,316.5,316,315,314.5,318,318.5,319,319.5,320
1683075616009901483,317,316.5,316,315,314.5,318,318.5,319,319.5,320
1683075616043169353,317,316.5,316,315,314.5,318,318.5,319,319.5,320
1683075618018948588,317,316.5,316,315,314.5,318,318.5,319,319.5,320
1683075618345194025,317,316.5,316,315,314.5,318,318.5,319,319.5,320
1683075618882055810,317,316.5,316,315,314.5,318,318.5,319,319.5,320
1683075621524837706,317,316.5,316,315,314.5,318,318.5,319,319.5,320
1683075622433186588,317,316.5,316,315,314.5,318,318.5,319,319.5,320
1683075623407084747,317,316.5,316,315,314.5,318,318.5,319,319.5,320
1683075623451236040,317,316.5,316,315,314.5,318,318.5,319,319.5,320
1683075623834832172,317,316.5,316,315,314.5,318,318.5,319,319.5,320
1683075625075928108,317,316.5,316,315,314.5,318,318.5,319,319.5,320
1683075626341845325,316.5,316,315,314.5,314,317,318,318.5,319,319.5
