Timestamp,BidPrice0,BidPrice1,BidPrice2,BidPrice3,BidPrice4,AskPrice0,AskPrice1,AskPrice2,AskPrice3,AskPrice4
1684881001879374732,0,0,0,0,0,0,0,0,0,0
1684888221878587480,317.5,316.5,315,314,313,326.5,327,329,329.5,330.5
1684888226917192126,319,317.5,316.5,315,314,325,326.5,327,329,329.5
1684888231934837528,319,317.5,316.5,315,314,325,325.5,326,326.5,327
1684888236946033731,319,317.5,316.5,315,314,325,325.5,326,326.5,327
1684888241959672401,319,317.5,316.5,315,314,325,325.5,326,326.5,327
1684888246981339295,319,317.5,316.5,316,315,325,325.5,326,326.5,327
1684888251998957707,319,317.5,317,316.5,316,325,325.5,326,326.5,327
1684888257012418964,319,317.5,317,316.5,316,325,325.5,326,326.5,327
1684888262032145786,319,317.5,317,316.5,316,325,325.5,326,326.5,327
1684888267035507500,320.5,319,317.5,317,316.5,325,325.5,326,326.5,327
1684888272064228811,320.5,319,317.5,317,316.5,322,325,325.5,326,326.5
1684888277077999681,320.5,319,317.5,317,316.5,322,322.5,325,325.5,326
1684888287110050216,320.5,319,317.5,317,316.5,322,322.5,324.5,325,325.5
1684888292121564499,319,317.5,317,316.5,316,320.5,322,322.5,324.5,325
1684888297141322241,319,317.5,317,316.5,316,320.5,322,322.5,324.5,325
1684888307162351935,319,317.5,317,316.5,316,320.5,322,322.5,324.5,325
1684888312184101898,319,317.5,317,316.5,316,320.5,322,322.5,324.5,325
1684888322225784063,319,317.5,317,316.5,316,320.5,322,322.5,323.5,324
1684888347313565354,320.5,319,317.5,317,316.5,322,322.5,323.5,324,324.5
1684888367377211216,320.5,319,317.5,317,316.5,322,322.5,323.5,324,324.5
1684888372386497459,320.5,319,318,317.5,317,322,322.5,323.5,324,324.5
1684888447649291867,320.5,319,318,317.5,317,322,322.5,323.5,324,324.5
1684888527913306072,320.5,319,318,317.5,317,322,322.5,323.5,324,324.5
1684888532922841078,320.5,319,318,317.5,317,322,322.5,323.5,324,324.5
1684888573066016635,320.5,319,318,317.5,317,322,322.5,323.5,324,324.5
1684888578069265639,320.5,319,318,317.5,317,322,322.5,323.5,324,324.5
1684888583097356173,320.5,319,318,317.5,317,322,322.5,323.5,324,324.5
1684888673365870809,320.5,319,318,317.5,317,322,322.5,323.5,324,324.5
1684888778709881012,320.5,319,318,317.5,317,322,322.5,323.5,324,324.5
1684888788755650113,320.5,319,318,317.5,317,322,322.5,323.5,324,324.5
1684888829881752831,320.5,319,318,317.5,317,322,322.5,323.5,324,324.5
1684889080690799948,320.5,319,318,317.5,317,322,322.5,323.5,324,324.5
1684889140881157469,319,318,317.5,317,316.5,322,322.5,323.5,324,324.5
1684889155922707588,319,318,317.5,317,316.5,322,322.5,323.5,324,324.5
1684889281337610912,319,318,317.5,317,316.5,322,322.5,323.5,324,324.5
1684889316448803857,319,318,317.5,317,316.5,322,322.5,323.5,324,324.5
1684889406936566603,319,318,317.5,317,316.5,322,322.5,323.5,324,324.5
1684889417385639184,319,318,317.5,317,316.5,320.5,322,322.5,323.5,324
1684889437640492842,319,318,317.5,317,316.5,320.5,322,322.5,323.5,324
1684889447663582222,319,318,317.5,317,316.5,320.5,322,322.5,323.5,324
1684889457709597037,319,318,317.5,317,316.5,320.5,322,322.5,323.5,324
1684889467732174849,319,318,317.5,317,316.5,320.5,322,322.5,323.5,324
1684889497831980291,319,318,317.5,317,316.5,320.5,322,322.5,323.5,324
1684889558043781602,319,318,317.5,317,316.5,320.5,322,322.5,323.5,324
1684889583125971578,319,318,317.5,317,316.5,320.5,322,322.5,323.5,324
1684889618222902923,319,318,317.5,317,316.5,320.5,322,322.5,323.5,324
1684889623236437907,319,318,317.5,317,316.5,320.5,322,322.5,323.5,324
1684889628256325719,319,318,317.5,317,316.5,320.5,322,322.5,323.5,324
